"id";"normalised";"hiscocat";"hiscocatname";"hiscocatdesc"
"47";"bierhuishouders";"https://iisg.amsterdam/resource/hisco/code/hisco/51050";"Working Proprietor (Café, Bar and Snack Bar)";"Operates a café, bar or snack bar on own account or in partnership, to sell food or alcoholic and other beverages to customers."
"48";"biljartmakers";"https://iisg.amsterdam/resource/hisco/code/hisco/81190";"Other Cabinetmakers";"This groups includes cabinetmakers not elsewhere classified, for example those who make billiard tables, piano shells, small wooden cases for jewellery and instruments, clock cases and similar products."
"49";"bindrotting (fabrikanten van en handelaren in)";"https://iisg.amsterdam/resource/hisco/code/hisco/21110";"General Manager";"Plans, organises, directs and controls, on proprietors' or on own behalf, an industrial, commercial or other undertaking, establishment or organisation, and coordinates the work of departmental managers or other immediate subordinates. Where the simple, undefined term >Manufacturer= occurs it can be coded to either 2-11.10 or 9-99.99. Where the title indicates a manufacturer of something (e.g. >Fabricant de papier=) it can be coded to either 2-11.10 or the relevant production code in Major Groups 7, 8 or 9 (i.e. in the case of >Fabricant de papier=, 7-34.00). Examples of the latter product-defining titles are not given below but are listed in the alphabetical language-based coding index."
"50";"biscuits, comestibles, suikerwerken enz. (in)";"https://iisg.amsterdam/resource/hisco/code/hisco/41025";"Working Proprietor (Wholesale or Retail Trade)";"Conducts a business either in wholesale trade (4-10.20) or in retail trade (4-10.30)."
"51";"bladgoud (in)";"https://iisg.amsterdam/resource/hisco/code/hisco/41025";"Working Proprietor (Wholesale or Retail Trade)";"Conducts a business either in wholesale trade (4-10.20) or in retail trade (4-10.30)."
"52";"bloemen en planten (in kunst-)";"https://iisg.amsterdam/resource/hisco/code/hisco/94990";"Other Production and Related Workers Not Elsewhere Classified";"This group includes other production and related workers not elsewhere classified, for example those who make footwear from raffia, straw or similar material; operate machines in the making of matches; operate machines in the making of wood-encased pencil"
"53";"bloemisten en hoveniers";"https://iisg.amsterdam/resource/hisco/code/hisco/61270";"Horticultural Farmer";"Conducts a nursery or market garden on own behalf, or in partnership, to propagate trees, shrubs, flowers and other plants or to grow vegetables by intensive cultivation techniques:"
"54";"boekbinders";"https://iisg.amsterdam/resource/hisco/code/hisco/92625";"Bookbinder (Hand or Machine)";"Binds printed material together by hand (9-26.20) or machine (9-26.30)."
"55";"boekdrukkers";"https://iisg.amsterdam/resource/hisco/code/hisco/92110";"Printer, General";"Sets type and operates a small printing machine."
"56";"boek- en steendrukkersmaterialen (in)";"https://iisg.amsterdam/resource/hisco/code/hisco/41025";"Working Proprietor (Wholesale or Retail Trade)";"Conducts a business either in wholesale trade (4-10.20) or in retail trade (4-10.30)."
"57";"boekhandelaars en uitgevers";"https://iisg.amsterdam/resource/hisco/code/hisco/41025";"Working Proprietor (Wholesale or Retail Trade)";"Conducts a business either in wholesale trade (4-10.20) or in retail trade (4-10.30)."
"58";"bontwerken, pelterijen enz. (in)";"https://iisg.amsterdam/resource/hisco/code/hisco/41025";"Working Proprietor (Wholesale or Retail Trade)";"Conducts a business either in wholesale trade (4-10.20) or in retail trade (4-10.30)."
"59";"borduurwerken (winkeliers en fabrikanten enz.)";"https://iisg.amsterdam/resource/hisco/code/hisco/21110";"General Manager";"Plans, organises, directs and controls, on proprietors' or on own behalf, an industrial, commercial or other undertaking, establishment or organisation, and coordinates the work of departmental managers or other immediate subordinates. Where the simple, undefined term >Manufacturer= occurs it can be coded to either 2-11.10 or 9-99.99. Where the title indicates a manufacturer of something (e.g. >Fabricant de papier=) it can be coded to either 2-11.10 or the relevant production code in Major Groups 7, 8 or 9 (i.e. in the case of >Fabricant de papier=, 7-34.00). Examples of the latter product-defining titles are not given below but are listed in the alphabetical language-based coding index."
"60";"borstelwerken enz. (in)";"https://iisg.amsterdam/resource/hisco/code/hisco/41025";"Working Proprietor (Wholesale or Retail Trade)";"Conducts a business either in wholesale trade (4-10.20) or in retail trade (4-10.30)."
"61";"boter, kaas, zout enz. (kooplieden in)";"https://iisg.amsterdam/resource/hisco/code/hisco/41025";"Working Proprietor (Wholesale or Retail Trade)";"Conducts a business either in wholesale trade (4-10.20) or in retail trade (4-10.30)."
"62";"bottelaars. (wijn- en bier-)";"https://iisg.amsterdam/resource/hisco/code/hisco/97152";"Packer, Hand or Machine";"Packs materials or products by hand (9-71.50) or machine (9-71.55)."
"63";"bouwkundigen";"https://iisg.amsterdam/resource/hisco/code/hisco/02220";"Building Construction Engineer";"Designs structures of large buildings and plans, organises and supervises their erection, maintenance and repair."
"64";"bouwmaterialen (in)";"https://iisg.amsterdam/resource/hisco/code/hisco/41025";"Working Proprietor (Wholesale or Retail Trade)";"Conducts a business either in wholesale trade (4-10.20) or in retail trade (4-10.30)."
"65";"brandapparaten (in)";"https://iisg.amsterdam/resource/hisco/code/hisco/41025";"Working Proprietor (Wholesale or Retail Trade)";"Conducts a business either in wholesale trade (4-10.20) or in retail trade (4-10.30)."
"66";"brandkasten (in)";"https://iisg.amsterdam/resource/hisco/code/hisco/41025";"Working Proprietor (Wholesale or Retail Trade)";"Conducts a business either in wholesale trade (4-10.20) or in retail trade (4-10.30)."
"67";"brandspuitmakers";"https://iisg.amsterdam/resource/hisco/code/hisco/84190";"Other Machinery Fitters and Machine Assemblers";"This group includes machinery fitters and machine assemblers not elsewhere classified, for example those performing tasks in fitting, adjusting and assembling particular types of industrial and other mechanical equipment, which are not performed by workers classified in the preceding groups."
"68";"brandspuitslangen (in)";"https://iisg.amsterdam/resource/hisco/code/hisco/41025";"Working Proprietor (Wholesale or Retail Trade)";"Conducts a business either in wholesale trade (4-10.20) or in retail trade (4-10.30)."
"69";"brandstoffen (winkeliers en kooplieden in)";"https://iisg.amsterdam/resource/hisco/code/hisco/41025";"Working Proprietor (Wholesale or Retail Trade)";"Conducts a business either in wholesale trade (4-10.20) or in retail trade (4-10.30)."
"70";"brei-inrichtingen (machinale)";"https://iisg.amsterdam/resource/hisco/code/hisco/75500";"Knitter, Specialisation Unknown";"May perform any (but not all) of the occupational activities described in unit group 7-55."
"71";"breukbandenmakers";"https://iisg.amsterdam/resource/hisco/code/hisco/84245";"Orthopaedic Appliance Maker and Repairer";"Makes and repairs orthopaedic appliances such as artificial limbs and body supports."
"72";"bronswerken (fabrikanten van)";"https://iisg.amsterdam/resource/hisco/code/hisco/21110";"General Manager";"Plans, organises, directs and controls, on proprietors' or on own behalf, an industrial, commercial or other undertaking, establishment or organisation, and coordinates the work of departmental managers or other immediate subordinates. Where the simple, undefined term >Manufacturer= occurs it can be coded to either 2-11.10 or 9-99.99. Where the title indicates a manufacturer of something (e.g. >Fabricant de papier=) it can be coded to either 2-11.10 or the relevant production code in Major Groups 7, 8 or 9 (i.e. in the case of >Fabricant de papier=, 7-34.00). Examples of the latter product-defining titles are not given below but are listed in the alphabetical language-based coding index."
"73";"broodbakkers";"https://iisg.amsterdam/resource/hisco/code/hisco/77620";"Bread Baker";"Makes all kinds of bread."
"74";"brooddepothouders";"https://iisg.amsterdam/resource/hisco/code/hisco/39140";"Storeroom Clerk";"Receives, stores and issues tools, merchandise, equipment or other goods and maintains relevant records."
"75";"bruilofts- en feestartikelen enz. (in)";"https://iisg.amsterdam/resource/hisco/code/hisco/41025";"Working Proprietor (Wholesale or Retail Trade)";"Conducts a business either in wholesale trade (4-10.20) or in retail trade (4-10.30)."
"76";"bijoutiers";"https://iisg.amsterdam/resource/hisco/code/hisco/88010";"Jeweller, General";"Makes complete jewellery articles such as rings, brooches and bracelets."
"77";"calligrafen";"https://iisg.amsterdam/resource/hisco/code/hisco/16290";"Other Commercial Artists and Designers";"This group includes commercial artists and designers not elsewhere classified, for example those designing and painting stage scenery; designing armorial bearings; and tattooing decorative designs on clients' skins."
"78";"caoutchouc en gutta-perchaartikelen (in)";"https://iisg.amsterdam/resource/hisco/code/hisco/41025";"Working Proprietor (Wholesale or Retail Trade)";"Conducts a business either in wholesale trade (4-10.20) or in retail trade (4-10.30)."
"79";"cargadoors";"https://iisg.amsterdam/resource/hisco/code/hisco/22290";"Other Transport and Communications Supervisors";"This group includes transport and communications supervisors, dispatchers and controllers not classified elsewhere, for example those supervising and co-ordinating one or more of the operational activities of a barge, ferry or pipeline service and supervising the activities of workers engaged therein."
"80";"cartonnages (fabrikanten van)";"https://iisg.amsterdam/resource/hisco/code/hisco/21110";"General Manager";"Plans, organises, directs and controls, on proprietors' or on own behalf, an industrial, commercial or other undertaking, establishment or organisation, and coordinates the work of departmental managers or other immediate subordinates. Where the simple, undefined term >Manufacturer= occurs it can be coded to either 2-11.10 or 9-99.99. Where the title indicates a manufacturer of something (e.g. >Fabricant de papier=) it can be coded to either 2-11.10 or the relevant production code in Major Groups 7, 8 or 9 (i.e. in the case of >Fabricant de papier=, 7-34.00). Examples of the latter product-defining titles are not given below but are listed in the alphabetical language-based coding index."
"81";"cementwerken (fabrikanten van)";"https://iisg.amsterdam/resource/hisco/code/hisco/21110";"General Manager";"Plans, organises, directs and controls, on proprietors' or on own behalf, an industrial, commercial or other undertaking, establishment or organisation, and coordinates the work of departmental managers or other immediate subordinates. Where the simple, undefined term >Manufacturer= occurs it can be coded to either 2-11.10 or 9-99.99. Where the title indicates a manufacturer of something (e.g. >Fabricant de papier=) it can be coded to either 2-11.10 or the relevant production code in Major Groups 7, 8 or 9 (i.e. in the case of >Fabricant de papier=, 7-34.00). Examples of the latter product-defining titles are not given below but are listed in the alphabetical language-based coding index."
"82";"chemische producten (fabrikanten van)";"https://iisg.amsterdam/resource/hisco/code/hisco/21110";"General Manager";"Plans, organises, directs and controls, on proprietors' or on own behalf, an industrial, commercial or other undertaking, establishment or organisation, and coordinates the work of departmental managers or other immediate subordinates. Where the simple, undefined term >Manufacturer= occurs it can be coded to either 2-11.10 or 9-99.99. Where the title indicates a manufacturer of something (e.g. >Fabricant de papier=) it can be coded to either 2-11.10 or the relevant production code in Major Groups 7, 8 or 9 (i.e. in the case of >Fabricant de papier=, 7-34.00). Examples of the latter product-defining titles are not given below but are listed in the alphabetical language-based coding index."
"83";"chocolade, suikerwerken, pepermunt, enz. (fabrikanten van)";"https://iisg.amsterdam/resource/hisco/code/hisco/21110";"General Manager";"Plans, organises, directs and controls, on proprietors' or on own behalf, an industrial, commercial or other undertaking, establishment or organisation, and coordinates the work of departmental managers or other immediate subordinates. Where the simple, undefined term >Manufacturer= occurs it can be coded to either 2-11.10 or 9-99.99. Where the title indicates a manufacturer of something (e.g. >Fabricant de papier=) it can be coded to either 2-11.10 or the relevant production code in Major Groups 7, 8 or 9 (i.e. in the case of >Fabricant de papier=, 7-34.00). Examples of the latter product-defining titles are not given below but are listed in the alphabetical language-based coding index."
"84";"collecteurs der staatsloterij";"https://iisg.amsterdam/resource/hisco/code/hisco/31020";"Tax Collector";"Receives taxes on behalf of local, regional or central administration. May collect duty and impose penalties for contravention of tax regulations. May do so in person or via correspondence."
"85";"comestibles, fijne vleeschwaren enz. (in)";"https://iisg.amsterdam/resource/hisco/code/hisco/41025";"Working Proprietor (Wholesale or Retail Trade)";"Conducts a business either in wholesale trade (4-10.20) or in retail trade (4-10.30)."
"86";"comestibles, fijne vleeschwaren";"https://iisg.amsterdam/resource/hisco/code/hisco/41025";"Working Proprietor (Wholesale or Retail Trade)";"Conducts a business either in wholesale trade (4-10.20) or in retail trade (4-10.30)."
"87";"convooiloopers";"https://iisg.amsterdam/resource/hisco/code/hisco/37040";"Messenger";"Delivers messages, packages and other items to offices or other commercial premises within an establishment or elsewhere."
"88";"corsetten (fabrikanten van)";"https://iisg.amsterdam/resource/hisco/code/hisco/21110";"General Manager";"Plans, organises, directs and controls, on proprietors' or on own behalf, an industrial, commercial or other undertaking, establishment or organisation, and coordinates the work of departmental managers or other immediate subordinates. Where the simple, undefined term >Manufacturer= occurs it can be coded to either 2-11.10 or 9-99.99. Where the title indicates a manufacturer of something (e.g. >Fabricant de papier=) it can be coded to either 2-11.10 or the relevant production code in Major Groups 7, 8 or 9 (i.e. in the case of >Fabricant de papier=, 7-34.00). Examples of the latter product-defining titles are not given below but are listed in the alphabetical language-based coding index."
"89";"costumiers";"https://iisg.amsterdam/resource/hisco/code/hisco/79510";"Hand and Machine Sewer, General";"Performs various hand- and machine-sewing tasks in making, altering and repairing articles of textile and kindred materials."
"90";"dames-kleedermaaksters";"https://iisg.amsterdam/resource/hisco/code/hisco/79140";"Dressmaker";"Makes complete dresses and assimilated garments, and executes alterations and repairs."
"91";"decorateurs";"https://iisg.amsterdam/resource/hisco/code/hisco/93920";"Brush-Painter (except Construction)";"Applies decorative and protective coatings of paint, enamel and lacquer on wooden, metal and other manufactured articles (except glass and ceramics) with brush and hand rollers."
"92";"dekens (fabrikanten van)";"https://iisg.amsterdam/resource/hisco/code/hisco/21110";"General Manager";"Plans, organises, directs and controls, on proprietors' or on own behalf, an industrial, commercial or other undertaking, establishment or organisation, and coordinates the work of departmental managers or other immediate subordinates. Where the simple, undefined term >Manufacturer= occurs it can be coded to either 2-11.10 or 9-99.99. Where the title indicates a manufacturer of something (e.g. >Fabricant de papier=) it can be coded to either 2-11.10 or the relevant production code in Major Groups 7, 8 or 9 (i.e. in the case of >Fabricant de papier=, 7-34.00). Examples of the latter product-defining titles are not given below but are listed in the alphabetical language-based coding index."
"93";"dekenwasschers en glanzers";"https://iisg.amsterdam/resource/hisco/code/hisco/56010";"Launderer, General";"Performs duties such as washing, drying and ironing clothing, textile fabrics and similar articles in a laundry or in private house."
"94";"detectives (particuliere)";"https://iisg.amsterdam/resource/hisco/code/hisco/58240";"Private Police Guard";"Polices property or parts of establishments, such as industrial plants, banks or museums to prevent theft, violence, infractions of rules or other irregularities, and may make arrests."
"95";"deurwaarders";"https://iisg.amsterdam/resource/hisco/code/hisco/39340";"Legal Clerk";"Carries out specialised clerical tasks in connection with legal matters."
"96";"diamanten (commissionairs en koopieden in)";"https://iisg.amsterdam/resource/hisco/code/hisco/41020";"Working Proprietor (Wholesale Trade)";"Conducts a business in wholesale trade on own behalf or in partnership, buying goods and selling them to retailers and to industrial, commercial or other large consumers."
"97";"diamantwerkers";"https://iisg.amsterdam/resource/hisco/code/hisco/88030";"Gem Cutter and Polisher";"Cuts, shapes and polishes precious or semi-precious stones by hand and machine."
"98";"diamantzetters";"https://iisg.amsterdam/resource/hisco/code/hisco/88040";"Gem Setter";"Sets precious or semi-precious stones in jewellery."
"99";"diamantbewerkers-benoodigdheden (in)";"https://iisg.amsterdam/resource/hisco/code/hisco/41025";"Working Proprietor (Wholesale or Retail Trade)";"Conducts a business either in wholesale trade (4-10.20) or in retail trade (4-10.30)."
"100";"diamantbewerkerscement (in)";"https://iisg.amsterdam/resource/hisco/code/hisco/41025";"Working Proprietor (Wholesale or Retail Trade)";"Conducts a business either in wholesale trade (4-10.20) or in retail trade (4-10.30)."
"101";"dichters (gelegenheids-)";"https://iisg.amsterdam/resource/hisco/code/hisco/15990";"Other Authors, Journalists and Related Writers";"This group includes journalists and related writers not elsewhere classified, for example those who compile and write material for encyclopaedias; write words for musical works; write scripts for television and radio productions; adapt plays for broadcasting or filming; or specialise in providing extempore commentaries on events of public interest, such as sports meetings, for broadcasting over radio or television."
"102";"dienstpersoneel (commissionairs in)";"https://iisg.amsterdam/resource/hisco/code/hisco/42230";"Purchasing Agent";"Buys machinery, equipment, raw materials, services and other supplies for use or consumption by a manufacturing, commercial, government agency or other undertaking"
"103";"dispacheurs";"https://iisg.amsterdam/resource/hisco/code/hisco/12110";"Lawyer";"Prepares and pleads cases and conducts prosecutions in courts of justice."
"104";"distillateurs";"https://iisg.amsterdam/resource/hisco/code/hisco/74400";"Still or Reactor Operator, Specialisation Unknown";"May perform any (but not all) of the occupational activities described in unit group 7-44."
"105";"doctoren (medicinae)";"https://iisg.amsterdam/resource/hisco/code/hisco/06105";"General Physician";"Conducts medical examinations, makes diagnoses, prescribes medicines, and gives other forms of treatment for various kinds of diseases, disorders and injuries of the human body; applies preventive medicine techniques to prevent diseases and promote good health."
"106";"doctoren artsen (medicinae)";"https://iisg.amsterdam/resource/hisco/code/hisco/06105";"General Physician";"Conducts medical examinations, makes diagnoses, prescribes medicines, and gives other forms of treatment for various kinds of diseases, disorders and injuries of the human body; applies preventive medicine techniques to prevent diseases and promote good health."
"107";"draaiers (hout-, ivoor- en metaal-)";"https://iisg.amsterdam/resource/hisco/code/hisco/81230";"Wood Turner";"Shapes pieces of wood rotating in a lathe, using hand tools."
"108";"drogerijen, chemicalien en verfwaren (commisisionairs in)";"https://iisg.amsterdam/resource/hisco/code/hisco/41020";"Working Proprietor (Wholesale Trade)";"Conducts a business in wholesale trade on own behalf or in partnership, buying goods and selling them to retailers and to industrial, commercial or other large consumers."
